, Haryana, Uttar Pradesh,Assam,Bihar,Delhi,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Punjab,Rajasthan,Tamil Nadu,Telangana,West_bengal
2023-01-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-02-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-03-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-04-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-05-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-06-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-07-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-08-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-09-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-10-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-11-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
2023-12-01,97.42640079199765,96.56659352496322,95.96550184913025,107.21696263784939,96.71792856080938,96.62987755596086,101.89006880419375,107.69531906903478,108.60366500361363,106.35408506209488,96.17360901122248,108.43439131855209,102.62706040136872,109.64351120125646,105.99462434726203
